battle_id,league_id,team_a_id,team_b_id,start_time,winrate_diff,gold_diff,tower_diff,big_dragon_diff,tyrant_diff,kda_diff_30d,kda_diff_all,winrate_diff_all,games_diff,top_kda_diff,top_mvp_diff,jungle_kda_diff,jungle_mvp_diff,mid_kda_diff,mid_mvp_diff,adc_kda_diff,adc_mvp_diff,support_kda_diff,support_mvp_diff,label
870334992_42_1761994042,20250003,10016,10001,2025-11-01 18:00:00,-0.05541770057899087,1278.5070306038033,0.11745244003308475,0.19437551695616218,-0.3027295285359799,-1.3482728701406117,0.3578330532212899,-0.052215758098110965,2,-0.03557692307692406,0.053205128205126684,-0.4474772539288656,0.026468155500412927,-0.894285714285715,-0.3319815668202759,-1.5894127377998357,-0.8066170388751033,-0.5901190476190479,-0.577857142857142,1
870334992_43_1761996290,20250003,10016,10001,2025-11-01 18:00:00,-0.05541770057899087,1278.5070306038033,0.11745244003308475,0.19437551695616218,-0.3027295285359799,-1.3482728701406117,0.3578330532212899,-0.052215758098110965,2,-0.03557692307692406,0.053205128205126684,-0.4474772539288656,0.026468155500412927,-0.894285714285715,-0.3319815668202759,-1.5894127377998357,-0.8066170388751033,-0.5901190476190479,-0.577857142857142,0
870334992_44_1761998839,20250003,10016,10001,2025-11-01 18:00:00,-0.05541770057899087,1278.5070306038033,0.11745244003308475,0.19437551695616218,-0.3027295285359799,-1.3482728701406117,0.3578330532212899,-0.052215758098110965,2,-0.03557692307692406,0.053205128205126684,-0.4474772539288656,0.026468155500412927,-0.894285714285715,-0.3319815668202759,-1.5894127377998357,-0.8066170388751033,-0.5901190476190479,-0.577857142857142,1
870334992_45_1762001395,20250003,10016,10001,2025-11-01 18:00:00,-0.05541770057899087,1278.5070306038033,0.11745244003308475,0.19437551695616218,-0.3027295285359799,-1.3482728701406117,0.3578330532212899,-0.052215758098110965,2,-0.03557692307692406,0.053205128205126684,-0.4474772539288656,0.026468155500412927,-0.894285714285715,-0.3319815668202759,-1.5894127377998357,-0.8066170388751033,-0.5901190476190479,-0.577857142857142,1
870334992_46_1762004212,20250003,10016,10001,2025-11-01 18:00:00,-0.05541770057899087,1278.5070306038033,0.11745244003308475,0.19437551695616218,-0.3027295285359799,-1.3482728701406117,0.3578330532212899,-0.052215758098110965,2,-0.03557692307692406,0.053205128205126684,-0.4474772539288656,0.026468155500412927,-0.894285714285715,-0.3319815668202759,-1.5894127377998357,-0.8066170388751033,-0.5901190476190479,-0.577857142857142,0
870334992_47_1762006673,20250003,10016,10001,2025-11-01 18:00:00,-0.05541770057899087,1278.5070306038033,0.11745244003308475,0.19437551695616218,-0.3027295285359799,-1.3482728701406117,0.3578330532212899,-0.052215758098110965,2,-0.03557692307692406,0.053205128205126684,-0.4474772539288656,0.026468155500412927,-0.894285714285715,-0.3319815668202759,-1.5894127377998357,-0.8066170388751033,-0.5901190476190479,-0.577857142857142,0
870334992_50_1762078158,20250003,10001,10003,2025-11-02 18:00:00,-0.010695187165775444,-2883.803030303032,0.3413547237076653,0.017825311942959,0.15329768270944744,0.4857798573975032,-1.8898565045914761,-0.0010007063809748251,-13,-0.9579411764705892,0.03794117647058837,-0.5094474153297686,-0.06925133689839491,-0.49158249158249134,-0.16767676767676853,0.5565062388591802,0.10882352941176521,0.42758620689655125,0.5413793103448272,1
870334992_51_1762080914,20250003,10001,10003,2025-11-02 18:00:00,-0.010695187165775444,-2883.803030303032,0.3413547237076653,0.017825311942959,0.15329768270944744,0.4857798573975032,-1.8898565045914761,-0.0010007063809748251,-13,-0.9579411764705892,0.03794117647058837,-0.5094474153297686,-0.06925133689839491,-0.49158249158249134,-0.16767676767676853,0.5565062388591802,0.10882352941176521,0.42758620689655125,0.5413793103448272,0
870334992_52_1762082944,20250003,10001,10003,2025-11-02 18:00:00,-0.010695187165775444,-2883.803030303032,0.3413547237076653,0.017825311942959,0.15329768270944744,0.4857798573975032,-1.8898565045914761,-0.0010007063809748251,-13,-0.9579411764705892,0.03794117647058837,-0.5094474153297686,-0.06925133689839491,-0.49158249158249134,-0.16767676767676853,0.5565062388591802,0.10882352941176521,0.42758620689655125,0.5413793103448272,1
870334992_53_1762085250,20250003,10001,10003,2025-11-02 18:00:00,-0.010695187165775444,-2883.803030303032,0.3413547237076653,0.017825311942959,0.15329768270944744,0.4857798573975032,-1.8898565045914761,-0.0010007063809748251,-13,-0.9579411764705892,0.03794117647058837,-0.5094474153297686,-0.06925133689839491,-0.49158249158249134,-0.16767676767676853,0.5565062388591802,0.10882352941176521,0.42758620689655125,0.5413793103448272,1
